close,log_ret,volatility,rsi_norm,macd_norm,vol_change
8745.89453125,0.010141927934056931,0.47433816057459177,0.2548637541013551,0.04402315798840282,-0.09210649565538986
8680.8759765625,-0.007461951294768086,0.4553583426643363,0.2652829601509741,0.04238645773344226,-0.06414578402912596
8406.515625,-0.03211536772319544,0.4548286844956774,0.2254879734811226,0.03907658575619495,0.13127850676807284
8445.4345703125,0.00461893300829455,0.4548131220392548,0.13339983694257868,0.035160775079005516,-0.05473984489432482
8367.84765625,-0.009229306182408406,0.4577580993414986,0.1619857479999672,0.031388734394864934,-0.2165560668492219
8596.830078125,0.02699683810277081,0.4389600585678861,0.1913421865199092,0.029204074173750347,0.12114479335849992
8909.8193359375,0.03576042498236325,0.4228902119640587,0.3219826243598257,0.029639858652576366,0.2559742146421584
9358.58984375,0.04914065669354804,0.44744705903366727,0.24769660580991215,0.0328125370135517,0.1829595257172727
9316.6298828125,-0.004493658672814258,0.4333199066760832,0.23547126281493533,0.0358409179434074,-0.11432440656133025
9508.9931640625,0.020437036918080173,0.4237190612796307,0.34539028287830886,0.038540672761578534,0.053808009619302766
9350.529296875,-0.01680504867594127,0.4243788930870991,0.18929791167329996,0.04012399212422987,-0.09540451019107721
9392.875,0.004518472151643944,0.4222752887880848,0.1995702596836749,0.0405730239346919,-0.12698180215370058
9344.365234375,-0.005177910236525379,0.42198885989225426,0.30869948284144444,0.040400848073463766,0.17355695330708087
9293.521484375,-0.00545597007771587,0.3210818459300972,0.30728210540322126,0.03942096677058191,0.0031847146294161632
9180.962890625,-0.0121854536490776,0.32495509151745516,0.20780159699375417,0.03751909391503645,-0.03422853740260834
9613.423828125,0.04602834799275258,0.3569214077838461,0.3789128637198357,0.03722685423091631,0.16404213061802864
9729.8017578125,0.012033084493942919,0.35142897208429635,0.5745594376942873,0.0383968835067714,0.06609772924065638
9795.943359375,0.0067748353927720014,0.3513761975564218,0.5795293348582539,0.03949863199312303,-0.08615274022092123
9865.119140625,0.0070368594474600355,0.3312693021472116,0.6448354901076249,0.040392900152082294,0.01863395105843324
